stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
FALI,"Fallières",,47.22499769,-1.57936607,,,1,,
FANE,"Faneurs",,47.21372749,-1.70194359,,,1,,
FATA,"Fantaisie",,47.25285889,-1.56938770,,,1,,
FAUV,"Fauvelière",,47.28299773,-1.50529658,,,1,,
FBAU,"François Baudry",,47.26220500,-1.67190590,,,1,,
FBLA,"Fresche Blanc",,47.25281388,-1.55681513,,,1,,
FDDR,"Fac de Droit",,47.24374117,-1.55194213,,,1,,
FDLE,"Fac de Lettres",,47.24533299,-1.55187802,,,1,,
FERI,"Ferrière",,47.24446815,-1.59071030,,,1,,
FFAU,"Félix Faure",,47.22699393,-1.56940153,,,1,,
FGRI,"Fief Guérin",,47.14380878,-1.66045118,,,1,,
FLAN,"Flandres",,47.28561387,-1.54786193,,,1,,
FLEU,"Fleuriaye",,47.29925453,-1.50018654,,,1,,
FLRI,"Floride",,47.21342390,-1.60375581,,,1,,
FLTR,"Flora Tristan",,47.17629135,-1.54389962,,,1,,
FLUR,"Fleurs",,47.21584875,-1.71797585,,,1,,
FMIT,"François Mitterrand",,47.22208989,-1.63855047,,,1,,
FNLL,"Fresnel",,47.24295196,-1.52326763,,,1,,
FNSO,"Fenaison",,47.26965323,-1.59247099,,,1,,
FOCH,"Foch - Cathédrale",,47.21876596,-1.55047048,,,1,,
FOND,"Fonderies",,47.20640441,-1.54389473,,,1,,
FORU,"Forum d'Orvault",,47.25442964,-1.61520495,,,1,,
FOTA,"Fontaine",,47.20552878,-1.48909196,,,1,,
FOUL,"Foulquier",,47.30980766,-1.54628469,,,1,,
FRAC,"Frachon",,47.21914823,-1.62072510,,,1,,
FRBA,"Frébaudière",,47.27227021,-1.62652859,,,1,,
FRCH,"Fraîches",,47.17449945,-1.48940822,,,1,,
FRET,"Forêt",,47.24430980,-1.57536431,,,1,,
FRGA,"Frégate",,47.23521406,-1.47602477,,,1,,
FRII,"François II",,47.21841657,-1.68316862,,,1,,
FRKL,"Franklin",,47.22593935,-1.61970702,,,1,,
FRMO,"Frémoire",,47.15331494,-1.47631223,,,1,,
FRNE,"Frênes",,47.25322728,-1.48763866,,,1,,
FRON,"Frêne Rond",,47.19020661,-1.49639705,,,1,,
FRRR,"Frères Rousseau",,47.12610438,-1.62846632,,,1,,
FTAB,"Félix Tableau",,47.18818967,-1.54677171,,,1,,
FTDO,"Fructidor",,47.24007867,-1.55950491,,,1,,
GADO,"Gandonnière",,47.30702533,-1.54055814,,,1,,
GAGN,"Gagnerie",,47.23222751,-1.50710922,,,1,,
